ID|Date|Supplier|Supplier Description|Category|Item Description|Amount Spent|Quantity Purchased|Country|Price Rate
3ac902e8-3db2-4192-ba7a-3a1887b7b545|2021-03-28|Alvarez, James and Lozano|Alvarez, James and Lozano provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|8232.08|70|Cayman Islands|117.6
685407b0-438c-4b36-9bbb-8924ad8075fc|2021-06-11|Bartlett-Williams|Bartlett-Williams provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|80493.2|30|Syrian Arab Republic|2683.11
b8d1082a-dd22-4a8a-81b9-47c809e431b3|2020-09-20|Fleming Inc|Fleming Inc provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|43604.82|40|Bahamas|1090.12
c5f58857-4f9a-4446-8359-9a8015ca5a88|2024-09-25|Williamson PLC|Williamson PLC provides high-quality services in the laboratory equipment domain.|Laboratory Equipment|Laboratory instruments like microscopes, pipettes, and centrifuges.|25096.65|68|Timor-Leste|369.07
029af4e3-b8c0-4a23-a8a5-3e4f2802bcea|2020-06-03|Ingram Group|Ingram Group provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|48229.33|43|France|1121.61
d59dd5ba-c04f-4c7b-9079-2467b2b20384|2022-01-14|Munoz, Smith and Garcia|Munoz, Smith and Garcia provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|14300.84|75|United States of America|190.68
57554d8f-dd03-4b20-9711-5ee019c59f35|2023-04-21|Murphy Group|Murphy Group provides high-quality services in the clinical trials domain.|Clinical Trials|Services and supplies for conducting clinical trials and patient studies.|60555.47|67|Hungary|903.81
6456ce5f-93bd-41b1-9ae8-ed565b97eefb|2022-11-08|Stein, Cortez and Nichols|Stein, Cortez and Nichols provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|17702.94|29|Cook Islands|610.45
bb173354-62a6-4435-9913-8acc3a6f1df6|2022-11-26|Jones Group|Jones Group provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|8321.54|14|Guinea|594.4
531f9cf7-c2f5-4a29-a861-88f98190d110|2023-08-10|Hernandez, Richardson and Dyer|Hernandez, Richardson and Dyer provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|49549.01|58|French Guiana|854.29
2d606222-9d4b-41bc-b52e-66ae00217f23|2021-12-11|Garcia PLC|Garcia PLC provides high-quality services in the medical devices domain.|Medical Devices|Medical equipment like diagnostic tools and surgical instruments.|79850.87|50|Guyana|1597.02
670d3ad8-a222-4429-8320-ab627d1a7b84|2021-06-03|Espinoza Ltd|Espinoza Ltd provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|59444.63|34|Ethiopia|1748.37
31de0184-6c24-4961-823e-e32ceef54873|2022-02-16|Patterson, Paul and Carey|Patterson, Paul and Carey provides high-quality services in the software domain.|Software|Software solutions for data management in pharmaceutical companies.|52080.13|11|Barbados|4734.56
a0a5cb60-2e45-4fd8-b412-cf6d76c3e8a4|2023-03-18|Phillips PLC|Phillips PLC provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|65038.7|62|Singapore|1049.01
541470b4-1d91-4c20-a4a5-99f2b504a204|2020-05-03|Reese, Johnston and Johnson|Reese, Johnston and Johnson provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|18271.0|39|Mongolia|468.49
ea8b3c87-729c-4b77-871e-5b5883933175|2020-08-19|Potter, Schroeder and Ford|Potter, Schroeder and Ford provides high-quality services in the consultation domain.|Consultation|Professional consultation services in healthcare sector for aggregate impactful convergence.|52727.0|49|Timor-Leste|1076.06
0101ca05-50f3-46ec-9b53-d73d9ad63422|2020-06-04|Houston-Holt|Houston-Holt provides high-quality services in the regulatory & compliance domain.|Regulatory & Compliance|Services ensuring compliance with health regulations and safety standards.|23692.57|13|Egypt|1822.51
9cb4ea4e-4635-4a7f-9ed8-0247a0445bac|2021-12-24|Potts LLC|Potts LLC provides high-quality services in the regulatory & compliance domain.|Regulatory & Compliance|Services ensuring compliance with health regulations and safety standards.|14863.09|10|Comoros|1486.31
61fab31b-afb9-4c2a-b5a7-fb860d995044|2021-08-14|Swanson, Gill and Banks|Swanson, Gill and Banks provides high-quality services in the medical devices domain.|Medical Devices|Medical equipment like diagnostic tools and surgical instruments.|87226.62|69|Benin|1264.15
f82c9556-59e1-4436-bade-f7a4adffffdb|2020-10-21|Brown-Pearson|Brown-Pearson provides high-quality services in the clinical trials domain.|Clinical Trials|Services and supplies for conducting clinical trials and patient studies.|75198.75|98|Portugal|767.33
65f95942-3774-417f-bb71-97c26657a5fb|2023-05-23|Perkins LLC|Perkins LLC provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|51313.07|3|Mongolia|17104.36
e00972cb-c64e-4d59-a642-eaa402c3aa74|2021-06-23|Morris Ltd|Morris Ltd provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|96122.78|80|Cuba|1201.53
9a3f3305-2f8a-4049-ac1d-6205252a0c27|2020-08-07|Mason-Marsh|Mason-Marsh provides high-quality services in the software domain.|Software|Software solutions for data management in pharmaceutical companies.|16009.46|38|Tokelau|421.3
88c18883-c5cb-4a4c-91c3-955592d8151d|2020-11-25|Cox, Clayton and Kirk|Cox, Clayton and Kirk provides high-quality services in the software domain.|Software|Software solutions for data management in pharmaceutical companies.|72160.57|5|Chile|14432.11
7c775bac-dfce-4aa7-89a1-fef8323986cc|2022-08-03|Manning, Clark and Villa|Manning, Clark and Villa provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|20557.55|95|Slovakia (Slovak Republic)|216.4
31a7604a-0c90-4816-9dfa-37aa7f578497|2025-03-01|Velasquez, Mueller and Ford|Velasquez, Mueller and Ford provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|83511.58|75|Tanzania|1113.49
be9bb7ad-53f7-4026-95ee-d95420449886|2020-02-05|Mcdonald-Villanueva|Mcdonald-Villanueva provides high-quality services in the regulatory & compliance domain.|Regulatory & Compliance|Services ensuring compliance with health regulations and safety standards.|60815.61|46|United States Virgin Islands|1322.08
ffb6fd31-66fd-4e41-8858-9c7f6e7b8a66|2023-04-22|Mcdaniel PLC|Mcdaniel PLC provides high-quality services in the regulatory & compliance domain.|Regulatory & Compliance|Services ensuring compliance with health regulations and safety standards.|74400.54|60|Cape Verde|1240.01
cd08c451-1275-44be-a76b-b51feb3580a6|2023-05-06|Tucker, Flores and Valencia|Tucker, Flores and Valencia provides high-quality services in the medical devices domain.|Medical Devices|Medical equipment like diagnostic tools and surgical instruments.|56729.48|57|French Polynesia|995.25
04f81649-99da-40ce-82d1-2d9f3f415b24|2023-07-09|Jones-White|Jones-White provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|74067.49|49|Chile|1511.58
c04b06be-e87a-48b2-a77d-d0ca604dfd68|2021-02-22|Moyer-Mason|Moyer-Mason provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|26631.09|90|Nicaragua|295.9
71a95b82-19be-4a85-ba86-795988b4d6f6|2023-01-08|Wilson-Rush|Wilson-Rush provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|22698.74|13|Algeria|1746.06
914810d6-56b2-42d6-a394-55f9fa394f03|2020-05-18|Shaffer, Contreras and Walls|Shaffer, Contreras and Walls provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|80410.69|43|Iran|1870.02
da44744a-9114-4a0e-89a6-3c9caff0a7b9|2022-03-09|Jarvis, Hatfield and Burton|Jarvis, Hatfield and Burton provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|41670.93|56|Montserrat|744.12
2d773989-eb8b-448b-ac41-fd731623599e|2024-12-15|Pham-Solis|Pham-Solis provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|81697.34|26|Montserrat|3142.21
4c4b629f-fad1-4001-b05a-4e0a508503a1|2021-07-10|Wolf, Russell and Taylor|Wolf, Russell and Taylor provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|37633.07|68|Gambia|553.43
7a1181a9-b81f-44e2-ad59-82c8bbad0a1a|2020-04-15|Lawson, Ryan and King|Lawson, Ryan and King provides high-quality services in the medical devices domain.|Medical Devices|Medical equipment like diagnostic tools and surgical instruments.|69768.25|83|Mauritania|840.58
35576c1a-19a7-4f35-965a-527865172742|2021-07-02|Thomas-Benson|Thomas-Benson provides high-quality services in the consultation domain.|Consultation|Professional consultation services in healthcare sector for redefine next-generation models.|23177.03|56|Sweden|413.88
254625ff-c66e-4c59-8c12-b744039d0a3a|2021-03-13|Martinez-Hines|Martinez-Hines provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|93816.94|34|South Georgia and the South Sandwich Islands|2759.32
dbee8d1e-2c0e-4c1c-980a-48290c30ea50|2024-06-05|Price Inc|Price Inc provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|37662.56|96|Benin|392.32
063a002e-2851-4527-8b2b-caef9f3d525f|2024-02-08|Douglas-Bolton|Douglas-Bolton provides high-quality services in the software domain.|Software|Software solutions for data management in pharmaceutical companies.|78726.26|80|Kenya|984.08
2143bb87-d9d8-4e84-bc4e-5a32abcc3a08|2024-03-19|Austin, Johnson and Thompson|Austin, Johnson and Thompson provides high-quality services in the medical devices domain.|Medical Devices|Medical equipment like diagnostic tools and surgical instruments.|50034.93|85|Netherlands|588.65
29efd0f6-96a2-40c7-8782-2563d70c6a38|2023-02-07|Yu, Jones and Hernandez|Yu, Jones and Hernandez provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|94694.96|61|Malaysia|1552.38
98ca2c24-0592-4347-bab6-b00ffa079168|2024-12-08|Phillips, Hoffman and Smith|Phillips, Hoffman and Smith provides high-quality services in the laboratory equipment domain.|Laboratory Equipment|Laboratory instruments like microscopes, pipettes, and centrifuges.|88865.22|66|Georgia|1346.44
7414af63-2586-45fe-873f-673f157170d6|2022-05-02|Rasmussen, Wilson and Taylor|Rasmussen, Wilson and Taylor provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|99615.44|69|Korea|1443.7
a4920ef9-9851-4bcc-9bce-920f9c9c7f04|2020-08-24|Bates, Peterson and Kelly|Bates, Peterson and Kelly provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|60922.55|59|Uruguay|1032.59
60e25a2d-470c-44be-b208-47bc1ca65e9b|2021-08-19|Nicholson, Bryant and Russell|Nicholson, Bryant and Russell provides high-quality services in the regulatory & compliance domain.|Regulatory & Compliance|Services ensuring compliance with health regulations and safety standards.|47325.95|77|Poland|614.62
7e729215-de86-4430-92d2-2ed97061a14b|2024-04-27|Harper, Kent and Harris|Harper, Kent and Harris provides high-quality services in the clinical trials domain.|Clinical Trials|Services and supplies for conducting clinical trials and patient studies.|21154.22|30|Christmas Island|705.14
eaef7150-a3da-4388-9433-73d7caf6d43c|2020-08-26|Peck-Marquez|Peck-Marquez provides high-quality services in the consultation domain.|Consultation|Professional consultation services in healthcare sector for exploit dynamic interfaces.|41050.21|15|Moldova|2736.68
0f68962f-ed57-471b-b1ab-58457216ede2|2022-03-04|Ho-Meyers|Ho-Meyers provides high-quality services in the laboratory equipment domain.|Laboratory Equipment|Laboratory instruments like microscopes, pipettes, and centrifuges.|57502.07|94|Malaysia|611.72
6cae26a6-16cd-4d27-b9da-8d29f068db5e|2021-10-31|Black Inc|Black Inc provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|23586.95|29|New Zealand|813.34
abe70143-9c2a-4a7a-a718-74c629c7b114|2021-06-04|Gregory, Lynch and Proctor|Gregory, Lynch and Proctor provides high-quality services in the laboratory equipment domain.|Laboratory Equipment|Laboratory instruments like microscopes, pipettes, and centrifuges.|80649.84|86|Mexico|937.79
31807d64-8de0-4a1f-9544-8a7c68145a48|2021-12-30|Allen Group|Allen Group provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|2414.7|52|Nepal|46.44
129ca38f-73f0-469b-a741-c987ee968484|2022-02-09|Moss-Potts|Moss-Potts provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|95818.13|67|Iran|1430.12
0b55b5e3-778e-46a2-bcb2-d167f67b73a0|2020-05-09|Johnson Inc|Johnson Inc provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|27160.66|22|Ecuador|1234.58
cda6bf75-01fe-4e93-bfeb-98ca23f9c83f|2020-05-31|Jackson and Sons|Jackson and Sons provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|31241.16|24|Pitcairn Islands|1301.71
5bb2290c-bc7d-4c99-abbc-6e592c986554|2024-09-14|Carlson-Lane|Carlson-Lane provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|64503.8|44|Malawi|1466.0
23197c0a-37ad-4a9f-8382-44b194dc4003|2022-01-19|Chase-Jensen|Chase-Jensen provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|14830.77|32|United Arab Emirates|463.46
f3953071-31f4-411f-851f-efa951b952d7|2024-04-30|Lawson-Santos|Lawson-Santos provides high-quality services in the consultation domain.|Consultation|Professional consultation services in healthcare sector for matrix global communities.|71668.68|73|Denmark|981.76
64964d96-3ce3-4230-9487-e98de91acb98|2024-10-08|Foster Ltd|Foster Ltd provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|51438.43|72|United States of America|714.42
8ad5a69d-4f45-4d42-9311-a1e5fda863f1|2020-07-09|Ross-Decker|Ross-Decker provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|69745.7|40|Korea|1743.64
5f27e2c4-a2ff-4dce-9e0f-796d73f0ecaa|2022-01-26|Jones, Alvarez and Rich|Jones, Alvarez and Rich provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|92477.07|65|Tanzania|1422.72
d7a699b9-e085-4411-a506-6b4f465314b7|2022-09-08|Mason PLC|Mason PLC provides high-quality services in the clinical trials domain.|Clinical Trials|Services and supplies for conducting clinical trials and patient studies.|95735.98|29|Austria|3301.24
23d0981e-67e9-4ee7-b59e-66835d9d9374|2020-03-08|Kelly-Smith|Kelly-Smith provides high-quality services in the medical devices domain.|Medical Devices|Medical equipment like diagnostic tools and surgical instruments.|96802.11|58|Panama|1669.0
ea529242-2d03-41c0-9ef6-c62ab084044a|2022-03-09|Kane-Thomas|Kane-Thomas provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|27620.74|72|Myanmar|383.62
e14b6033-034b-4793-a99e-cb866efa37e0|2022-10-24|Brown LLC|Brown LLC provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|89102.16|9|Palau|9900.24
76a06f85-b278-4df7-9bda-60b938ce7cbe|2022-07-14|Carr-Russell|Carr-Russell provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|77722.74|79|Grenada|983.83
1428fb32-e648-4fa4-8e16-752277bfdbcf|2020-12-18|Horton PLC|Horton PLC provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|93667.32|36|Switzerland|2601.87
c04b38b1-a3ad-43ad-8a6e-e8a164beef98|2024-09-20|Williamson LLC|Williamson LLC provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|23018.06|31|Denmark|742.52
284545ac-e7b1-4481-a9bd-3aa6c977e8f2|2023-01-25|Dixon-Harris|Dixon-Harris provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|31512.47|42|Korea|750.3
0b878c84-6987-4493-822d-4e6490cb6e3c|2022-08-09|Perez PLC|Perez PLC provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|91174.88|72|Hong Kong|1266.32
df94a167-5712-492b-aa33-31b78a41d09c|2023-05-12|Mullen-Moore|Mullen-Moore provides high-quality services in the software domain.|Software|Software solutions for data management in pharmaceutical companies.|25904.2|91|Ireland|284.66
53fdd4ee-6f23-423a-8c65-d049a82303f9|2022-06-21|Johnson Group|Johnson Group provides high-quality services in the regulatory & compliance domain.|Regulatory & Compliance|Services ensuring compliance with health regulations and safety standards.|73901.59|95|Philippines|777.91
9b41bc39-e00c-43be-b8e4-881d6189797d|2020-12-07|Ward-Jackson|Ward-Jackson provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|14216.19|5|Western Sahara|2843.24
84d9fdfc-9860-432b-b5bf-57243f198ee2|2024-04-05|Bauer-Franklin|Bauer-Franklin provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|61557.44|21|Germany|2931.31
f9fc96b7-a932-4f66-8058-9d7c8989fbaa|2023-05-10|Wallace, Fisher and Smith|Wallace, Fisher and Smith provides high-quality services in the clinical trials domain.|Clinical Trials|Services and supplies for conducting clinical trials and patient studies.|30537.34|56|Poland|545.31
e1ef966a-c6d6-4989-8d96-cf668037a167|2021-08-25|Sampson-Fisher|Sampson-Fisher provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|29338.55|33|Malaysia|889.05
d1bfb0c4-75ff-42fa-abc8-c7c138549e7b|2022-08-05|Anderson, Lambert and Greer|Anderson, Lambert and Greer provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|44160.6|100|Costa Rica|441.61
7cebb584-6699-4e44-9e69-eab46c449d69|2024-05-25|Sherman PLC|Sherman PLC provides high-quality services in the clinical trials domain.|Clinical Trials|Services and supplies for conducting clinical trials and patient studies.|90686.99|13|Rwanda|6975.92
3413fbe4-76cf-4609-ac63-d5b7d643fb66|2022-12-11|Walker, Collins and Smith|Walker, Collins and Smith provides high-quality services in the regulatory & compliance domain.|Regulatory & Compliance|Services ensuring compliance with health regulations and safety standards.|20012.43|75|Italy|266.83
9e8c0db3-2cdd-4771-9342-ef54beab10cd|2020-04-08|Woods-Anderson|Woods-Anderson provides high-quality services in the laboratory equipment domain.|Laboratory Equipment|Laboratory instruments like microscopes, pipettes, and centrifuges.|67519.81|34|Tanzania|1985.88
14ec79d0-8372-4897-bb8a-9e12ef020a09|2023-08-31|Rosales LLC|Rosales LLC provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|51132.51|78|Guinea-Bissau|655.55
27dba2a3-88c7-4a94-bb5d-f4410462923e|2022-10-13|Mitchell, Elliott and Frey|Mitchell, Elliott and Frey provides high-quality services in the blood products domain.|Blood Products|Blood plasma, red blood cells, and other blood products for hospitals.|65305.34|60|Togo|1088.42
a0f701c4-59a4-414a-af28-5b99b7b886a0|2022-07-03|Collins Group|Collins Group provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|64899.55|70|South Africa|927.14
4be3dd5b-0672-41f3-86ea-d81cb1d56c87|2024-02-13|Johnson, Davis and Martin|Johnson, Davis and Martin provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|36649.81|85|Montserrat|431.17
0707d87a-625c-4015-9a96-e6d150ce4d8a|2021-02-01|Hill Ltd|Hill Ltd provides high-quality services in the laboratory equipment domain.|Laboratory Equipment|Laboratory instruments like microscopes, pipettes, and centrifuges.|18303.15|16|Saint Pierre and Miquelon|1143.95
8258e17b-d2e9-4019-8181-e2a84cd84100|2020-12-11|Webb, Sanders and Clark|Webb, Sanders and Clark provides high-quality services in the consultation domain.|Consultation|Professional consultation services in healthcare sector for engineer value-added e-services.|17235.76|28|Spain|615.56
c9dea2f8-d5a8-4925-bd04-ab15b3af0024|2020-01-13|Wilkins PLC|Wilkins PLC provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|3628.95|17|Germany|213.47
c0fbbae9-3ff2-4a08-bce2-56029a7b9877|2024-11-26|Joseph, Schultz and Hall|Joseph, Schultz and Hall provides high-quality services in the healthcare services domain.|Healthcare Services|Healthcare service contracts, such as medical staffing and patient management.|86750.56|43|Panama|2017.45
c855ca87-e12c-41f6-b016-0cbf209c7ad4|2022-05-13|Medina Inc|Medina Inc provides high-quality services in the medical devices domain.|Medical Devices|Medical equipment like diagnostic tools and surgical instruments.|76082.12|24|Ethiopia|3170.09
